NodeIndex,GeneSymbol,AAA,PAD,AMI,Stroke,HeartFailure
406,EGR2,0,0,0,0,0
407,DNA2,0,0,0,0,0
408,GATA6,0,0,0,1,1
409,TNFRSF13B,0,0,0,0,0
410,LGR4,0,0,0,0,0
411,CDC20,0,0,0,0,0
412,PLOD2,0,0,0,0,0
413,TXNDC17,0,0,0,0,0
414,PLK4,0,0,0,0,0
415,UGT2B10,0,0,0,0,0
416,PHLDA2,0,0,0,0,0
417,SULT1C3,0,0,0,0,0
418,MAOA,0,0,0,0,0
419,CCL27,0,0,0,0,0
420,PHYH,0,0,0,0,1
421,LPA,1,1,1,0,0
422,RIPK1,0,0,0,0,0
423,HM13,0,0,0,0,0
424,ACTA1,0,0,0,0,0
425,PRKG1,1,1,0,1,0
426,CETP,0,0,0,0,0
427,RRM2,0,0,0,0,0
428,ARNT,0,0,0,0,0
429,LYPLA1,0,0,0,0,0
430,OTUB2,0,0,0,0,0
431,EIF3A,0,0,0,0,0
432,HS6ST1,0,0,0,0,0
433,DCTN3,0,0,0,0,0
434,SYBU,0,0,0,0,0
435,CALCB,0,0,0,0,0
436,TAF1,0,0,0,0,0
437,CCND2,0,0,0,0,0
438,JAG1,0,1,0,1,0
439,ZW10,0,0,0,0,0
440,THRAP3,0,0,0,0,0
441,RAD54L2,0,0,0,0,0
