Index1,Index2,Protein1,Protein2,score,InteractionType
7383,3142,CACNG3,GRIA4,869,Protein_Protein
7383,2902,CACNG3,CACNG7,939,Protein_Protein
7383,1617,CACNG3,CACNA2D1,978,Protein_Protein
7383,3788,CACNG3,CACNA1F,927,Protein_Protein
7383,1569,CACNG3,GRIN1,830,Protein_Protein
7383,6190,CACNG3,CACNA1S,916,Protein_Protein
7383,7564,CACNG3,CACNG1,974,Protein_Protein
7383,1623,CACNG3,CACNA1D,957,Protein_Protein
7383,6385,CACNG3,GRIA3,852,Protein_Protein
7383,7573,CACNG3,CNIH2,835,Protein_Protein
7383,2518,CACNG3,GRIA1,867,Protein_Protein
7383,6736,CACNG3,CACNA1C,910,Protein_Protein
7383,132,CACNG3,CACNB4,958,Protein_Protein
7383,3062,CACNG3,GRIN2C,788,Protein_Protein
7383,2393,CACNG3,CACNG5,814,Protein_Protein
7383,5472,CACNG3,CAMK2B,766,Protein_Protein
7383,3699,CACNG3,SHISA9,820,Protein_Protein
7383,2411,CACNG3,GRIN3A,794,Protein_Protein
7383,3415,CACNG3,CACNG8,913,Protein_Protein
7383,4851,CACNG3,CACNG4,905,Protein_Protein
7383,4523,CACNG3,GRIN3B,769,Protein_Protein
7383,8513,CACNG3,CAMK2A,805,Protein_Protein
7383,603,CACNG3,CACNA1A,815,Protein_Protein
7383,3977,CACNG3,CACNA2D4,915,Protein_Protein
7383,5591,CACNG3,CACNB1,912,Protein_Protein
7383,4069,CACNG3,CNIH3,804,Protein_Protein
7383,3193,CACNG3,GRIA2,923,Protein_Protein
7383,2735,CACNG3,CACNG6,908,Protein_Protein
7383,503,CACNG3,CACNA1H,818,Protein_Protein
7383,4451,CACNG3,CACNB3,938,Protein_Protein
7383,6685,CACNG3,GRIN2A,794,Protein_Protein
7383,7032,CACNG3,GRIN2B,800,Protein_Protein
7383,1776,CACNG3,CACNG2,756,Protein_Protein
5360,2774,DVL2,CXXC4,915,Protein_Protein
5360,8083,DVL2,GNAQ,911,Protein_Protein
5360,8185,DVL2,FRAT1,921,Protein_Protein
5360,6153,DVL2,WWP2,765,Protein_Protein
5360,3296,DVL2,NOTCH3,930,Protein_Protein
5360,2962,DVL2,WNT3A,916,Protein_Protein
5360,1540,DVL2,VANGL1,994,Protein_Protein
5360,3524,DVL2,DVL3,990,Protein_Protein
5360,4263,DVL2,KLHL12,821,Protein_Protein
5360,8681,DVL2,FZD3,882,Protein_Protein
5360,2209,DVL2,DACT1,992,Protein_Protein
5360,4575,DVL2,TRIM29,856,Protein_Protein
5360,3837,DVL2,FZD5,964,Protein_Protein
5360,2726,DVL2,WWOX,898,Protein_Protein
5360,1759,DVL2,FRAT2,904,Protein_Protein
5360,4341,DVL2,CSNK2A3,906,Protein_Protein
5360,7507,DVL2,CTNNB1,930,Protein_Protein
5360,3136,DVL2,DVL1,991,Protein_Protein
5360,378,DVL2,AXIN2,969,Protein_Protein
5360,4182,DVL2,NXN,762,Protein_Protein
5360,5581,DVL2,NOTCH1,931,Protein_Protein
5360,4867,DVL2,DAB2,786,Protein_Protein
5360,977,DVL2,NKD2,957,Protein_Protein
5360,7105,DVL2,SMURF2,762,Protein_Protein
5360,1937,DVL2,PRICKLE1,979,Protein_Protein
5360,4747,DVL2,WNT1,784,Protein_Protein
5360,1731,DVL2,WWTR1,942,Protein_Protein
5360,1740,DVL2,ARRB2,981,Protein_Protein
5360,6527,DVL2,CSNK2B,940,Protein_Protein
5360,4169,DVL2,FZD4,985,Protein_Protein
5360,2355,DVL2,PRICKLE3,970,Protein_Protein
5360,5932,DVL2,FZD7,964,Protein_Protein
5360,1688,DVL2,FZD2,956,Protein_Protein
5360,6938,DVL2,NOTCH2,926,Protein_Protein
5360,745,DVL2,CSNK2A2,918,Protein_Protein
5360,3682,DVL2,CSNK1D,875,Protein_Protein
5360,5354,DVL2,CCDC88C,814,Protein_Protein
5360,4149,DVL2,CELSR1,784,Protein_Protein
5360,5574,DVL2,NKD1,962,Protein_Protein
5360,128,DVL2,LRP6,993,Protein_Protein
5360,1812,DVL2,FZD8,937,Protein_Protein
5360,3400,DVL2,SQSTM1,779,Protein_Protein
5360,8662,DVL2,APC,964,Protein_Protein
5360,1612,DVL2,FZD1,928,Protein_Protein
5360,3661,DVL2,BAMBI,934,Protein_Protein
5360,1957,DVL2,FZD10,797,Protein_Protein
5360,4734,DVL2,GSK3B,976,Protein_Protein
5360,2690,DVL2,ITCH,762,Protein_Protein
5360,2249,DVL2,AXIN1,999,Protein_Protein
